Un.,Código,Descrição
Un,444947,PINO ICAMENTO - CX ACESS CAR
Un,025457,PINO DE ARTICULAÇÃO DA CAÇAMBA CBH8
Un,033433,PINO DO IÇAMENTO [CBH12 M22]
Un,033434,PINO DO BALANCIM [EIXO DIANTEIRO - CBH12 M22]
KG,112410,"ACO TREF. RED. SAE-1045 - 3/4"""
KG,112502,"ACO TREF. RED. SAE-1020 - 2"""
KG,124072,ACO LAMINADO QDR 1/2 1020
KG,126615,"AÇO CHATO LAM 3/4 X 2"" SAE-1020"
KG,130552,CANTONEIRA 3/16 X 2 1020
KG,134032,"TUBO QDR 40,00 X 5MM"
Un,240492,FECHO RÁP. P/CARR. LD CÓD.ESP481D
Un,032310,PINO DA BASE DO CILINDRO _ CBHL 6000
KG,126299,"AÇO CHATO LAM 5/16 X 2"" SAE-5160"
Un,200405,"PORCA AUTOTRAVANTE 1/2"" UNC"
Un,212246,"ARR. DE PRES. MÉDIA - ZB 1"""
Un,214114,"RODA R15.5 AG 13"" X 15.5"" 8 FUROS"
Un,218250,CÂMARA FM 15.5 TR15
KG,226108,CORRENTE ELO 3/4 GALV.
Un,246923,TRIANGULO REFLETIVO D
Un,246924,TRIANGULO REFLETIVO E
Un,258179,PARAF SEX 1/2 X 4.1/2 UNC
Un,259410,PARAF SEX 1 X 3 UNC ZB
Un,268502,PNEU 400/60-15.5 SMHF I3 14L S/C
Un,279158,PORCA SEX 1 UNC
Un,444819,PINO GUIA BALANC-CX ACESS FT5
Un,444868,PINO TRASEIRO BALANCIM / ABERTURA LATERAL [CBH/CBHM/F/FA/FTC]
Un,025856,PINO CENTRAL - ACESS (M14) CBH/CBHM 02 EIXOS
KG,120535,"CHAPA FQ #12 (1,50 x 3,80m) 1010"
KG,120705,"CHAPA FQ #13 (1,20 x 6,00m) 1010"
KG,134063,TUBO RETANGULAR 250 X 150 X 6.30
Un,212099,"ARRUELA LISA 1/2"" ZB CHANFRA. # 1/8"""
M,216537,BORRACHA VEDAÇÃO CÓD. 84601-01
Un,222404,"CUBO RODA F. FUND. NOD. GGG-50"" CBHM 6000"
Un,457012,TENSOR CABOS - FREIO CAR
KG,110565,ACO LAMINADO RED 3.1/2 1045
KG,126226,"AÇO CHATO LAM 5/8 X 3"" SAE-1020"
KG,134716,TUBO MECANICO 56 X 28 ST-52
Un,219199,RETENTOR REF 01549-BRA (ARCA/SABÓ)
Un,222151,CONTRA PINO 1/4 X 3.1/2
Un,222411,CUBO P/ DIST. CALCÁRIO C/ PARAF. E PORCAS
Un,255454,"PARAF RODA MB (1.50) 10.9 22X89 ESPIRAL MBB CÓD. 812371 (7/8""X2.1/2"" UNF)"
Un,257139,PARAF. ALLEN C/CAB. MA 6 X 20
Un,258829,PARAF SEX 1/4 X 3/4 UNF
Un,272403,"PORCA AC SX OSC C32/AA29 M22X1,50 CL10 CÓD. 79415 (7/8"" UNF)"
Un,289269,ROLAMENTO REF. 32214 1º LINHA
Un,274355,PORCA SEX 1/4 UNF
KG,134066,TUBO RET 50 X 30 X 2.00MM TAM. 5 METROS
Un,258192,PARAF SEX 3/4 X 2 8.8 UNF ZB
Un,260988,PARAF SEX 5/8 X 1.3/4 UNC ZB
Un,275098,"PORCA A/T. NY 3/4"" ALTA UNF-ZB"
KG,120546,"CHAPA FQ #12 (1,50 x 6,00m) 1010"
Un,212097,"ARRUELA LISA 5/8"" GALV # 1/8"""
Un,412168,ARRUELA ENCOSTO - ICAM U6T
KG,110322,ACO LAMINADO RED 1.3/4 1020
KG,110980,ACO LAMINADO RED 1.3/4 1045
KG,112306,"ACO TREF. RED. SAE-1045 - 1.1/4"""
KG,112307,"ACO TREF. RED. SAE-1020 - 1.1/4"""
KG,112855,"AÇO QDR. INOX 304 DE 1.1/2"""
KG,112896,"ACO RED INOX 304 DE 2"""
KG,113049,"ACO TREF. RED. SAE-1045 - 1.1/2"""
KG,124152,AÇO TREFILADO QDR 5/16 1045
KG,126329,AÇO CHATO LAM 5/8 X 1.1/2 SAE-1020
KG,126706,AÇO CHATO LAM 5/8 X 2.1/2 SAE-1020
Un,214113,"ARO AG 15.5"" DC13"" X 15.5"" OFFSET49,4MM"
Un,240461,"ADAPTADOR 3/4""-16 PTT-30°"
Un,240493,FECHO RÁP. P/CARR. LE CÓD.ESP481E
Un,240642,GANCHO MENOR P/ F.RÁPIDO CÓD.FT 0040-C
KG,120121,"CHAPA FF #18 (1,21) 1010"
Un,116612,COMP. NAVAL SOMASSOALHO 3070 X 450 X 20MM
Un,222405,"CUBO RODA F. FUND. NOD. GGG-50"" F4/FA2"
Un,260629,PARAF SEX 5/8 X1.1/2 8.8 NC ZB
Un,439721,PINO TRAS - BAL TANDEM FA4/6
Un,450133,PINO TRAS. BALANCIM UVA
Un,116621,COMP. NAVAL SOMASSOALHO 3930 X 327 X 20MM
KG,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010"
KG,120278,"BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300"
KG,120545,BOBINA CHAPA LQ 3.00 X 1500 A36/CIVIL300
KG,134030,TUBO MEC STAND 101.60 X 6.30
Un,258210,PARAF SEX 3/4 X 1.1/2 UNC ZB
KG,120549,BOBINA CHAPA LQ 2.65 X 1200 A36/CIVIL300
Un,256020,PARAF FRANC 1/2 X 1.1/2 GALV
Un,262729,"ARO 14 x 5"""
Un,028844,PINO DA TAMPA TRASEIRA [CBH]
KG,120136,"BOBINA CHAPA LQ 2.25 X 1,20 A36/CIVIL300"
KG,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300"
KG,134060,TUBO RET 50 X 30 X 2.00MM TAM. 6 METROS
KG,134789,TUBO MECANICO 131 X 105 ST-52
KG,318420,TINTA PÓ 26 LI AMAR CEMAG BR CÓD. WEG 13215960
KG,134625,TUBO MECANICO 40 X 20 ST-52
Un,282169,REBITE DE ALUMINIO 6X12
Un,299018,CARDAN REF. CC-5000/4P COM EMBREAGEM
KG,134223,TUBO MECANICO 71 X 54 ST-52
Un,212404,"ARR. DE PRES. MÉDIA - ZB 5/8"""
Un,260334,"PARAFUSO SEXTAVADO 3/4"" X 5"" ROSCA PARCIAL UNC ZB"
Un,292026,"TEE DE REDUÇÃO 3.1/2"" PARA 2"" SCHEDULE 40"
Un,298336,"CURVA 90º SCH-40 3.1/2"" (EXT 101,6MM X 5,7MM ESP)"
Un,298338,"CURVA 90º SCH-40 2"" (EXT 60,3MM X 3,9MM ESP)"
Un,240643,"CILINDRO 2 ESTAGIO 57,15 MM BASC. LATERAL"
L,300041,PRIMER EPOXI 1202 COMP. A+B
Un,025472,PINO DO CILINDRO CBH8
KG,134133,TUBO MECANICO 32 X 16 ST-52
Un,284245,RETENTOR REF 00517 BR (AR-5346)
Un,240494,GANCHO C/ REBAIXO P/ F.RÁPIDO CÓD.ESP482
Un,026332,"CORRENTE COM GANCHO CARROCERIA METALICA S4,0/G4,0"
Un,026333,"CORRENTE SEM GANCHO CARROCERIA METALICA S4,0/G4,0"
KG,134128,TUBO MECANICO 87 X 61 ST-52
Un,026416PERF.,CORPO DA TRAVA CBH/CBHM 4/6 CÓD.026416
Un,030694,ALAVANCA DE FREIO - CHASSI SC CBH/CBHM 4T M17
Un,031752,PINO DO BRACO DO EIXO BALANCIM - TANDEM CBH/CBHM M20
Un,033138,ESGUICHO [FTD5000/FT10500/12500 M22]
KG,120110,"CHAPA A.DERR. 3,00mm. 1010"
Un,200242,"VALVULA ESFERICA MONOBLOCO 2"" BSP"
Un,200951,CANHÃO MONITOR C/ ESGUICHO MANUAL 1.1/2'
Un,200953,"BOMBA LOBULAR 4"" BL4001"
Un,201294,"VÁLVULA CEBOLA 4"" FUNDO DE POÇO - VPC4"
Un,209906,ADAPTADOR ESCAMA X ROSCA 4 X 4 - AER4X4
Un,209909,"ASPERSOR ESG. TIPO BICO DE PATO 2"" - AEBP2"
Un,209910,"ADAPT. ENGATE FEMEA 4"" x ROSCA EXT 4"" BSP REF. 050920008(EFE-B4)"
Un,209912,"ADAPT. ENGATE RÁPIDO MACHO 4"" x ESCAMA 4"" - REF. EMS-E4"
Un,209915,"ADAPTADOR ENGATE MACHO COM ESCAMA 2"""
Un,209916,"ADAPTADOR ENGATE FEMEA 2"" X ROSCA INTERNA 1.1/2"" BSP"
Un,212098,"ARRUELA LISA 1/4"" GALV"
Un,213604,"ABRACADEIRA P/ MANGOTE MS 105/117MM 4"""
Un,213609,"ABRACADEIRA MSA 117/129 5"""
M,224399,"PERFIL 15,00 X 30,00 ESP ER0033"
Un,234697,"ANEL SMS 4"" C/ RESSALTO - NBR"
M,240236,"MANG DE SUCÇÃO AZUL 4"""
M,240238,"MANG OLEO FLEX 4"""
Un,256978,"REGISTRO ESFERA 3/4"""
Un,257358,"PARAF ALLEN S/CAB 3/8 X 2"" UNC"
Un,258374,PARAF SEX 3/8 X 3.1/2 UNC
Un,260071,PARAF SEX 5/8 X 2 UNC ZB
Un,292025,"CURVA GALV. MACHO X FÊMEA 90º 2"""
Un,292968,"VALVULA DE ALIVIO C/ DISCO MET 2"""
Un,299714,CARDAN REF. 2001/2P B20B20-1300
KG,134016,"TUBO QDR 70,00 X 4,75"
Un,289220,ROLAMENTO 33210 SPZ/ZWZ/GBR/1ª L
Un,256596,"PARAFUSO FRANCES 1/4"" X 1"" UNC"
L,313122,DILUENTE P/ POLIURETANO CÓD. 21000118
Un,116659,MAD TABUA 2.0X15.0X200.0
Un,238260,MOLA TRAVA IÇAM. FA/FP/C
Un,443438,PINO CENTRO-5 RODA U6U4
KG,112355,"ACO TREF. RED. SAE-1045 - 1.3/4"""
KG,126214,AÇO CHATO LAM 1/2 X 3.1/2 1020
KG,134019NAC,TUBO RETANGULAR 200 X 100 X 6.35
KG,134387,"TUBO SCHEDULLE 40 - 3/8"" S/C 5 METROS"
M2,497820,"MANTA FILMA POLIET. 2mm. X 1,20 MT."
Un,025401PERF.,SUPORTE DO CILINDRO - CHASSI DA CAÇAMBA CBH (M13) 8T CÓD.025401
Un,258556,PARAF SEX 5/8 X 1.1/2 UNC
Un,292027,"TEE DE REDUÇÃO 3.1/2"" PARA 2.1/2"" SCHEDULE 40"
Un,298339,"CURVA 90º SCH-40 2.1/2"""
Un,025543,BUCHA DE DESGASTE - CBH 8T
KG,134107,"TUBO SCHEDULLE 80 - 4"""
Un,212096,"ARRUELA LISA ZB 5/16"" EXP. 1,5 MM"
L,313132,REDUTOR PARA PU
Un,221193,"LUVA DE UNIAO GALV. DE 2"""
KG,134183,"TUBO 4"" DIN 2440"
Un,350991,SILICONE ULTRA 598 BLACK 70GR
Un,116618,COMP. NAVAL SOMASSOALHO 1890 X 600 X 20MM
Un,116630,COMP. NAVAL FILM 2L 3870 X 600 X 20MM
Un,200950,"CANHÃO DIFUSOR 2.1/2"""
Un,210658,"VÁLVULA ESFERA TRIPARTIDA RED. BSP 2.1/2"""
Un,210659,"VÁLVULA ESFERA MONOBLOCO BSP 3"""
Un,213605,"ABRACADEIRA P/ MANGOTE 79/87 MM 3"""
Un,222190,GRAMPO JOANINHA METALC REF. SP011
M,240237,"MANG DE SUCÇÃO AZUL 3"""
Un,258181,PARAF SEX 1 X 3.1/2 UNS
Un,260630,PARAF SEX 1 X 3.1/2 UNC ZB
KG,120900,"CHAPA FF #20 (0,91) 1010"
Un,496832,TUBO ESC 2 GALV TANQUE
Un,533701,FITA TEFLON 3/4 x 50 Mts
Un,222197,CONTRA PINO 1/8 X 1
KG,134855,TUBO 1 DIN 2440
KG,130631,CANTONEIRA 1/4 X 3 1020
KG,134012,TUBO RETANGULAR 150 X 100 X 6.35 X 5000
KG,134057NAC,TUBO QUADRADO 200 X 200 X 4.75
KG,134123,TUBO MECANICO 106 X 82 ST-52
KG,134127,TUBO MECANICO 175 X 126 ST-52
M,117112,TARUGO NYLON RED. DE 35mm.
Un,240635,KIT DE REPARO (VEDAÇÕES+GUIAS+GAXETAS) CIL TELESC CBH 6T 10 OC
Un,288603,ROLAMENTO 30206 SPZ/ZWZ/GBR/1ªL
Un,402795,CINTA LONADA EIXO TRAS F4CC
